,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
38,Gaussian Naive Bayes,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5341818181818182,0.51773417602113,0.9979090909090909,0.6817588969629215
39,Gaussian Naive Bayes,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5378181818181819,0.5196969696969697,0.9978181818181818,0.683437110834371
40,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7814545454545454,1.0,0.5629090909090909,0.7203350395532806
41,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.7795909090909091,1.0,0.5591818181818182,0.7172759605853887
42,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.782,1.0,0.564,0.7212276214833758
43,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.7816363636363637,1.0,0.5632727272727273,0.7206327052802977
44,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.7765454545454545,1.0,0.5530909090909091,0.7122453757902131
45,Gaussian Naive Bayes,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7814545454545454,1.0,0.5629090909090909,0.7203350395532806
46,Gaussian Naive Bayes,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.7795909090909091,1.0,0.5591818181818182,0.7172759605853887
47,Gaussian Naive Bayes,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.782,1.0,0.564,0.7212276214833758
48,Gaussian Naive Bayes,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.7816363636363637,1.0,0.5632727272727273,0.7206327052802977
