,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
91,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-91-test.csv,0.8786818181818182,1.0,0.7573636363636363,0.8619316124359837
92,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-92-test.csv,0.8799090909090909,1.0,0.7598181818181818,0.8635189585701002
93,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-93-test.csv,0.879,1.0,0.758,0.8623435722411832
94,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-94-test.csv,0.8798181818181818,1.0,0.7596363636363637,0.8634015292415789
95,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-90-test.csv,0.837590909090909,1.0,0.6751818181818182,0.806099744939491
96,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-91-test.csv,0.8343636363636364,1.0,0.6687272727272727,0.8014818043146654
97,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-92-test.csv,0.834,1.0,0.668,0.8009592326139089
98,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-93-test.csv,0.8291818181818181,1.0,0.6583636363636364,0.7939918868545115
99,Gaussian Naive Bayes,Holdout,-,PCA,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-94-test.csv,0.8328636363636364,1.0,0.6657272727272727,0.7993232549255035
100,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.541,1.0,0.082,0.15157116451016636
101,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.5413181818181818,1.0,0.08263636363636363,0.15265765387522043
102,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.5397727272727273,1.0,0.07954545454545454,0.14736842105263157
103,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5400454545454545,1.0,0.08009090909090909,0.1483040148135679
104,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5437272727272727,1.0,0.08745454545454545,0.16084266845009196
105,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-90-test.csv,0.5480454545454545,1.0,0.09609090909090909,0.17533383096956126
106,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-91-test.csv,0.5484545454545454,1.0,0.0969090909090909,0.17669484501906182
107,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-92-test.csv,0.5475909090909091,1.0,0.09518181818181819,0.17381920810160206
108,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-93-test.csv,0.5496363636363636,1.0,0.09927272727272728,0.18061528283162423
109,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-94-test.csv,0.5499090909090909,1.0,0.09981818181818182,0.18151760621590346
110,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-90-test.csv,0.5831818181818181,1.0,0.16636363636363635,0.2852689010132502
111,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-91-test.csv,0.5796818181818182,1.0,0.15936363636363637,0.2749157061083667
112,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-92-test.csv,0.5824545454545454,1.0,0.16490909090909092,0.2831278289371001
113,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-93-test.csv,0.5806363636363636,1.0,0.16127272727272726,0.27775168310630965
114,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-94-test.csv,0.5789090909090909,1.0,0.15781818181818183,0.27261306532663315
115,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-90-test.csv,0.5205,1.0,0.041,0.0787704130643612
116,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-91-test.csv,0.5215,1.0,0.043,0.08245445829338446
117,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-92-test.csv,0.520090909090909,1.0,0.04018181818181818,0.07725922041601119
118,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-93-test.csv,0.5200454545454546,1.0,0.040090909090909094,0.07709116335984617
119,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,energy-managment_05_05_05-94-test.csv,0.5203636363636364,1.0,0.04072727272727273,0.07826694619147449
120,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-90-test.csv,0.5127727272727273,1.0,0.025545454545454545,0.049818278521407675
121,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-91-test.csv,0.5136363636363637,1.0,0.02727272727272727,0.053097345132743355
122,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-92-test.csv,0.5125,1.0,0.025,0.04878048780487806
123,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-93-test.csv,0.5125,1.0,0.025,0.04878048780487806
124,Gaussian Naive Bayes,Grid Search 3 folds,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,health-monitor_05_05_05-94-test.csv,0.5139545454545454,1.0,0.027909090909090908,0.054302644379587865
125,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.541,1.0,0.082,0.15157116451016636
126,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.5413181818181818,1.0,0.08263636363636363,0.15265765387522043
127,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.5397727272727273,1.0,0.07954545454545454,0.14736842105263157
128,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.5400454545454545,1.0,0.08009090909090909,0.1483040148135679
129,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.5437272727272727,1.0,0.08745454545454545,0.16084266845009196
130,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-90-test.csv,0.5480454545454545,1.0,0.09609090909090909,0.17533383096956126
131,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-91-test.csv,0.5484545454545454,1.0,0.0969090909090909,0.17669484501906182
132,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-92-test.csv,0.5475909090909091,1.0,0.09518181818181819,0.17381920810160206
133,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-93-test.csv,0.5496363636363636,1.0,0.09927272727272728,0.18061528283162423
134,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,cameras_05_05_05-94-test.csv,0.5499090909090909,1.0,0.09981818181818182,0.18151760621590346
135,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-90-test.csv,0.5831818181818181,1.0,0.16636363636363635,0.2852689010132502
136,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-91-test.csv,0.5796818181818182,1.0,0.15936363636363637,0.2749157061083667
137,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-92-test.csv,0.5824545454545454,1.0,0.16490909090909092,0.2831278289371001
138,Gaussian Naive Bayes,Holdout,-,Abs Correlation 20,all_iot_05_05_05-90-trains.csv,controller-hubs_05_05_05-93-test.csv,0.5806363636363636,1.0,0.16127272727272726,0.27775168310630965
