,Mutual information,Importance,Correlation,Variance,Abs Correlation,Colunas
21,0.05135088599649773,0.005003692592190322,-0.035893928300802284,98361134969328.8,0.035893928300802284,Flow IAT Min
22,0.04455975394951972,0.011664579181086371,0.01171266581047877,1417488209820006.8,0.01171266581047877,Fwd IAT Total
23,0.04344135762284518,0.005637100518585545,-0.021322058461581896,170081642687903.03,0.021322058461581896,Fwd IAT Mean
24,0.032108477744142494,0.0048708982405436425,0.01131818825317862,57561341536204.97,0.01131818825317862,Fwd IAT Std
25,0.05603817426635205,0.005629760110840675,0.010124155973934549,355894458781246.56,0.010124155973934549,Fwd IAT Max
26,0.041510518253726085,0.0032302731353527872,-0.02571014061049316,150291394798157.78,0.02571014061049316,Fwd IAT Min
27,0.02990913425558817,0.0056008496450403395,0.04781979309887404,950183683492865.4,0.04781979309887404,Bwd IAT Total
28,0.028718715487896507,0.003662007125371823,0.004830637823555388,106797617444063.23,0.004830637823555388,Bwd IAT Mean
29,0.018231765539717282,0.0017777762597055067,0.026662717939877983,45105775365544.95,0.026662717939877983,Bwd IAT Std
30,0.04232562169424137,0.0033276674921216987,0.02503816288268388,310016500807335.1,0.02503816288268388,Bwd IAT Max
31,0.01830551806087799,0.0018002850707673711,-0.009555744230259636,87320508110983.5,0.009555744230259636,Bwd IAT Min
32,0.004074551397303283,0.003712005974554234,0.007972484938312027,0.08579801291612603,0.007972484938312027,Fwd PSH Flags
33,0.0,0.0,,0.0,,Bwd PSH Flags
34,2.35895968958566e-05,0.0,,0.0,,Bwd URG Flags
35,0.07265541746384208,0.005970014554027154,0.048556413882279936,14867382.388988964,0.048556413882279936,Fwd Header Length
36,0.04414877862648581,0.003242774258502782,0.03561138894584818,33280453.845172964,0.03561138894584818,Bwd Header Length
37,0.053994052063092816,0.005763328352181197,0.054194342872518,559240060.2236235,0.054194342872518,Fwd Packets/s
38,0.044135353533967685,0.00986269241111846,0.12306996896245465,119176162.94460157,0.12306996896245465,Bwd Packets/s
39,0.02490786628060304,0.003847248679590797,-0.04894465665960525,3173.835878127187,0.04894465665960525,Packet Length Min
40,0.07272841916831553,0.009473837199764804,-0.00018120728551551608,271357.0149387509,0.00018120728551551608,Packet Length Max
41,0.08079043096579075,0.005980006317711789,-0.0260245396445538,32547.183184703954,0.0260245396445538,Packet Length Mean
42,0.06573029307766776,0.008073705074923158,-0.012110906634566378,43239.29748796312,0.012110906634566378,Packet Length Std
43,0.06586407542511319,0.007170877012025202,-0.01590569629051081,15727732812.013617,0.01590569629051081,Packet Length Variance
44,0.011465763634318948,0.00802062146806637,0.022207187017508536,0.13365380075789965,0.022207187017508536,FIN Flag Count
45,0.030070775805458364,0.014034602563057977,0.033867250663016074,0.19017114726721235,0.033867250663016074,SYN Flag Count
46,8.352214720797058e-05,0.0007208775158989161,-0.007466007119165191,0.00778384659584515,0.007466007119165191,RST Flag Count
47,0.0043328112299689785,0.004155971031068032,0.007972484938312027,0.08579801291612603,0.007972484938312027,PSH Flag Count
48,0.07627947810798275,0.008802991820612427,0.007382526085406691,0.24384268291740474,0.007382526085406691,ACK Flag Count
49,0.09562229450869797,0.003645374736131917,-0.005882760607443879,0.3997772023783796,0.005882760607443879,Down/Up Ratio
50,0.07527922566593426,0.005945542670525901,-0.033584026066739464,35857.51310836561,0.033584026066739464,Average Packet Size
51,0.05587412956939475,0.004919999834233128,0.0045967562297983214,16753.458155587654,0.0045967562297983214,Fwd Segment Size Avg
52,0.04081864018154446,0.00629537642777467,-0.04111266576058304,73436.02078348992,0.04111266576058304,Bwd Segment Size Avg
54,0.05997150430242337,0.002566475092539416,0.02952531370632252,54199553016.84368,0.02952531370632252,Subflow Fwd Bytes
56,0.025916903430679428,0.0011390911388781478,0.03301394356200574,106540393567.3634,0.03301394356200574,Subflow Bwd Bytes
57,0.1763961173914862,0.041519953345277465,-0.07715290509904596,612520690.4102843,0.07715290509904596,FWD Init Win Bytes
58,0.10443926645488856,0.010990855387380576,-0.030301640447222163,112830585.73746952,0.030301640447222163,Bwd Init Win Bytes
